gene_id,assembly,type
BTLA,GRCh37,experiment
CD226,GRCh37,experiment
CD244,GRCh37,experiment
CD300A,GRCh37,experiment
CD47,GRCh37,experiment
CD96,GRCh37,experiment
CEACAM1,GRCh37,experiment
CTLA4,GRCh37,experiment
FCGR3A,GRCh37,experiment
HAVCR2,GRCh37,experiment
IFNAR1,GRCh37,experiment
IFNAR2,GRCh37,experiment
IFNGR1,GRCh37,experiment
IFNGR2,GRCh37,experiment
IL12RB1,GRCh37,experiment
IL12RB2,GRCh37,experiment
IL15RA,GRCh37,experiment
IL18R1,GRCh37,experiment
IL18RAP,GRCh37,experiment
IL2RA,GRCh37,experiment
IL2RB,GRCh37,experiment
IL2RG,GRCh37,experiment
IL21R,GRCh37,experiment
KIR2DL1,GRCh37,experiment
KIR2DL2,GRCh37,experiment
KIR2DL3,GRCh37,experiment
KIR2DL5,GRCh37,experiment
KIR2DS1,GRCh37,experiment
KIR2DS2,GRCh37,experiment
KIR2DS3,GRCh37,experiment
KIR2DS4,GRCh37,experiment
KIR2DS5,GRCh37,experiment
KIR3DL1,GRCh37,experiment
KIR3DL2,GRCh37,experiment
KIR3DL3,GRCh37,experiment
KIR3DS1,GRCh37,experiment
KLRB1,GRCh37,experiment
KLRD1,GRCh37,experiment
KLRF1,GRCh37,experiment
KLRG1,GRCh37,experiment
KLRK1,GRCh37,experiment
KLRC1,GRCh37,experiment
KLRC2,GRCh37,experiment
KLRC3,GRCh37,experiment
LAG3,GRCh37,experiment
LAIR1,GRCh37,experiment
LILRB1,GRCh37,experiment
NCR1,GRCh37,experiment
NCR2,GRCh37,experiment
NCR3,GRCh37,experiment
PDCD1,GRCh37,experiment
SIGLEC7,GRCh37,experiment
SIGLEC9,GRCh37,experiment
SLAMF1,GRCh37,experiment
SLAMF3,GRCh37,experiment
SLAMF5,GRCh37,experiment
SLAMF6,GRCh37,experiment
SLAMF7,GRCh37,experiment
TGFBR1,GRCh37,experiment
TGFBR2,GRCh37,experiment
TIGIT,GRCh37,experiment

ACTB,GRCh37,negative
GAPDH,GRCh37,negative
RPL13A,GRCh37,negative
RPS18,GRCh37,negative
HPRT1,GRCh37,negative

MKI67,GRCh37,positive
TOP2A,GRCh37,positive
CCNB1,GRCh37,positive
UBE2C,GRCh37,positive
CDC20,GRCh37,positive

PTPRC,GRCh37,normalization
CD3E,GRCh37,normalization
NCR1,GRCh37,normalization
