"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"ENST00000556831.5","T1",-1.53593661086499,0.136865096320991,4835879.5,0.523977384329869,0.00120866941455734,0.027973049458164,100,100
"ENST00000583693.5","T1",-0.783218817069176,0.160250014130431,4931694,0.534359080377273,3.51563464637281e-06,0.000533851251994173,100,100
"ENST00000233092.10","T1",-0.987752166510097,0.217226795051479,4889672.5,0.529805965342952,5.71916991084648e-05,0.00365242132138497,100,100
"ENST00000539498.1","T1",-2.09734005954011,0.194299162382221,4923862.5,0.533510521415996,6.06779913722489e-06,0.00077354313019029,100,100
"ENST00000628648.2","T1",-9.28821978344273,-0.184998157760926,4471357.5,0.484480683866035,0.000314770790797677,0.0114735657363633,100,100
"ENST00000444155.1","T1",-8.0476715417835,-0.322640222693607,4460574.5,0.483312323873767,0.00206629319707881,0.0396029227550512,100,100
"ENST00000540112.1","T1",1.87043530767811,0.254517804979323,4971951.5,0.538721062422041,1.72436363611844e-07,6.9780097404499e-05,100,100
"ENST00000375840.8","T1",3.31629028033656,0.0615374715900416,4824142.5,0.522705656496311,0.00217698438043933,0.0409499441858585,100,100
"ENST00000311189.7","T1",4.61790828513212,0.0794015187901289,4836599,0.524055343618975,0.00116566920500469,0.0272927091628935,100,100
"ENST00000489402.1","T1",-1.1488587785379,0.0790605651674843,4823982,0.522688265994711,0.00219332534248778,0.0411577945841514,100,100
"ENST00000413543.6","T1",-1.28114070613375,-0.10126571967207,4381517,0.474746282875091,0.000651898721275329,0.0185926869788892,100,100
"ENST00000368630.7","T1",0.956016593429817,0.286948423779074,4866073.5,0.527248965671475,0.000229878623706056,0.00935045307431357,100,100
"ENST00000486906.1","T1",-1.44840643242018,-0.194592786730665,4402517,0.477021675607877,0.00192187663919762,0.0377949548399399,100,100
"ENST00000476334.1","T1",-1.63340567217654,0.144820625674302,4857261.5,0.526294167539984,0.000385422987336248,0.0131578426128804,100,100
"ENST00000560985.5","T1",-1.48706669247829,0.241105366711332,4839683,0.52438950129459,0.000992127090364017,0.0245735491409167,100,100
"ENST00000533161.5","T1",3.82327388673377,0.0765443402882258,4818466,0.522090596170232,0.00286432803815459,0.0487581394078013,100,100
"ENST00000380900.2","T1",3.41948528834147,0.114377801035611,4894657,0.530346046060883,4.19781444634697e-05,0.00294929503897768,100,100
"ENST00000447375.1","T1",-2.19976454878799,0.199011116439565,4834914,0.523872770440178,0.00124651533828185,0.0285133744067951,100,100
"ENST00000537203.5","T1",-7.38054139167485,0.389544602224091,4851869,0.525709879191815,3.87447258336068e-05,0.0027838429806311,100,100
"ENST00000437003.3","T1",-1.35080081272614,0.14965800903803,4895509,0.530438361994614,3.97352739379762e-05,0.00283366515014906,100,100
"ENST00000483552.1","T1",2.9199728253095,0.0290050177635979,4819215.5,0.522171806020386,0.00276340472951393,0.0476527768684952,100,100
"ENST00000509081.5","T1",1.6647007938409,-0.1759577350048,4199511,0.455025562412072,1.27147285867403e-09,2.9710431496115e-06,100,100
"ENST00000424576.6","T1",4.88550215825784,0.0997914463482719,4895074,0.530391228859434,4.08865770666448e-05,0.0028925892214493,100,100
"ENST00000497514.2","T1",0.0432413308458918,0.150905645120351,4819606,0.522214117490012,0.00270920179922819,0.0470860126147099,100,100
"ENST00000495665.2","T1",-9.78094239083984,-0.0982268596053419,4545312.59863281,0.492493869293728,0.00195270622857857,0.0381537139448784,100,100
"ENST00000566895.5","T1",-1.13795899445644,0.208899148468129,4827068,0.523022640374395,0.00188409080855395,0.0373059747088204,100,100
"ENST00000367144.4","T1",-0.985924351197778,0.192312648445173,4860405.5,0.526634826337693,0.000323812993855981,0.0117022221664267,100,100
"ENST00000575223.5","T1",1.89808371448105,0.0919485314589854,4893978,0.53027247502919,4.38143650939697e-05,0.0030290168397491,100,100
"ENST00000397459.6","T1",-6.08176332362279,-0.318786117354227,4397208,0.476446434654621,0.000882603877509379,0.0227546598581302,100,100
"ENST00000601498.5","T1",2.25351992520698,0.198928888637055,4949473.5,0.536285525381681,9.6783708286323e-07,0.000224831384282119,100,100
"ENST00000577433.5","T1",-1.1200780564104,0.193728609995658,4862043.5,0.52681230697085,0.000294105662685344,0.0109527495852286,100,100
"ENST00000616623.4","T1",1.48382218417686,-0.149796064478659,4309577,0.466951437484777,8.15307808069223e-06,0.000946438465990071,100,100
"ENST00000524804.1","T1",-1.78731884440621,0.226059901378222,4891395.5,0.529992655899075,5.14389734427205e-05,0.00338976690982737,100,100
"ENST00000419619.2","T1",-4.41201830317029,0.253545179822187,4847700.5,0.525258213734357,0.000559008632952387,0.016779674771105,100,100
"ENST00000393038.2","T1",4.61504243755644,0.0575401289738284,4859724,0.526560984425912,0.000336589062501228,0.0120174335798906,100,100
"ENST00000476054.5","T1",-3.92162669113779,0.342547065283237,4846588,0.525137672095537,0.000594935720058086,0.0175003760173455,100,100
"ENST00000589614.5","T1",-2.04904995200357,0.45544897974525,4915406,0.532594242432911,9.88546619945177e-06,0.00107291880386279,100,100
"ENST00000571405.5","T1",2.35386670541525,0.0731634886780621,4857588.5,0.526329598655395,0.000379206311484068,0.0130037255491461,100,100
"ENST00000574458.1","T1",-0.467578017905104,0.165232362066461,4888608.5,0.529690678777824,6.1257522077763e-05,0.00381407767321731,100,100
"ENST00000581202.5","T1",-8.24967421671092,0.335226917686501,4839492.5,0.524368860231943,6.8777150409559e-06,0.000841160642684495,100,100
"ENST00000469855.1","T1",-1.27399609914801,0.224736670540966,4896878.5,0.530586750106402,3.59973438851696e-05,0.00263828651111753,100,100
"ENST00000511907.1","T1",-0.55850165940917,0.109830102251866,4870806.5,0.527761795852631,0.000178579050894432,0.00791193230194094,100,100
"ENST00000380338.8","T1",-0.40466077550921,-0.133513556672011,4362974,0.472737111092041,0.00023308396486423,0.00942840454715668,100,100
"ENST00000481341.5","T1",1.54424524515357,0.0961797585437483,4857692,0.526340813091006,0.000377015691720161,0.0129750685577962,100,100
"ENST00000457734.6","T1",2.06273386487784,-0.201079690643823,4409768,0.477807336212897,0.00273802943928491,0.0473714868642273,100,100
"ENST00000403425.5","T1",3.82958665328995,0.0653422313482994,4868602,0.527522933791706,0.000203019056300069,0.00860767487183239,100,100
"ENST00000478613.5","T1",-8.38018791989715,0.322765466093987,4759243,0.515673663607672,0.000584094431096917,0.0172868800193769,100,100
